time_from_start,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,reference_progress,pitch_angle
0.07000000,-20.00000103,19.99999759,1.88769351,0.00042062,0.00000102,0.00220650,0.00000000,0.00000000,0.00000000,0.99999149,-0.00000367,0.00412491,0.00002534,-0.00015718,0.58685154,0.00354061,1,0.00000000
0.13000000,-19.99951071,19.99999818,1.88864192,0.02272290,0.00001742,0.03085313,0.00000000,0.00000000,0.00000000,0.99925754,0.00001126,0.03852716,0.00016639,0.00053921,1.56151334,0.00613880,1,0.00000000
0.19100000,-19.99601456,20.00000077,1.89126071,0.10110859,0.00008458,0.05099128,0.06580031,0.00000000,-0.00000000,0.99587315,-0.00000251,0.09075525,0.00039513,0.00461006,1.72959672,0.00860357,2,0.00000000
0.27100000,-19.98072038,20.00001319,1.89535849,0.29476571,0.00025821,0.04568563,1.39613021,0.00000000,-0.00000001,0.98798461,-0.00003602,0.15455050,0.00074078,-0.00315948,1.41258249,0.00862989,6,0.00000000
0.33100000,-19.95698681,20.00003661,1.89776202,0.50246809,0.00054653,0.03690647,3.14072745,0.00000001,-0.00000002,0.98052850,-0.00008320,0.19637423,0.00101158,-0.00110738,1.51705020,0.00893365,9,0.00000000
0.39100000,-19.91885563,20.00008388,1.90007403,0.77978175,0.00108581,0.04821583,5.89318930,0.00000001,-0.00000004,0.96913330,-0.00017351,0.24653405,0.00125626,0.00246331,1.95479058,0.00724328,13,0.00000000
0.47100000,-19.83615425,20.00022068,1.90604661,1.31530904,0.00246827,0.10034645,8.63418502,0.00000001,-0.00000006,0.94338604,-0.00044270,0.33169304,0.00152291,-0.01951620,2.36863339,0.00492565,17,0.00000000
0.53100000,-19.74127657,20.00042172,1.91289634,1.85939838,0.00427613,0.12327967,10.43939810,0.00000001,-0.00000007,0.91794556,-0.00067308,0.39670232,0.00166079,-0.01820107,2.22889752,0.00331073,20,0.00000000
0.59100000,-19.61002543,20.00075237,1.92011787,2.52296752,0.00677150,0.11069858,11.89961611,0.00000002,-0.00000007,0.89235550,-0.00085730,0.45132904,0.00173837,-0.01047643,1.75806639,0.00198388,23,0.00000000
0.67100000,-19.36747837,20.00145510,1.92617689,3.54936211,0.01082649,0.03152916,13.18844636,0.00000002,-0.00000007,0.86775428,-0.00092573,0.49698955,0.00174415,0.00322693,0.80691677,0.00102155,27,0.00000000
0.73200000,-19.12499051,20.00221627,1.92544293,4.39139930,0.01407649,-0.05523416,13.61978380,0.00000002,-0.00000007,0.86164288,-0.00088543,0.50751135,0.00172816,0.00186448,-0.00113436,0.00092744,30,0.00000000
0.79200000,-18.83601194,20.00315671,1.91972805,5.22516546,0.01719904,-0.12933983,13.59319477,0.00000001,-0.00000006,0.86731582,-0.00082808,0.49775446,0.00175617,-0.00232022,-0.70963397,0.00143394,33,0.00000000
