time_from_start,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,angular_acc_x,angular_acc_y,angular_acc_z,angular_jerk_x,angular_jerk_y,angular_jerk_z,angular_snap_x,angular_snap_y,angular_snap_z,heading,heading_rate,heading_acc
0.00000000,-20.00000227,19.99999763,1.88767251,0.20000001,-0.00000001,0.00000002,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,-20.00000227,19.99999763,1.88767251,0.20000001,-0.00000001,0.00000002,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.33536860,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.02000000,-19.99600005,19.99999763,1.88767251,0.20044308,-0.00000001,0.00000002,0.06580031,0.00000000,-0.00000000,6.44875883,0.00000001,-0.00000005,302.92105645,0.00000050,-0.00000230,0.99999438,-0.00000000,0.00335368,0.00000000,-0.00000000,0.64419474,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.04000000,-19.99196746,19.99999763,1.88767251,0.20344009,-0.00000001,0.00000002,0.25283798,0.00000000,-0.00000000,12.13063085,0.00000002,-0.00000009,265.60703439,0.00000043,-0.00000196,0.99991700,-0.00000000,0.01288354,0.00000000,-0.00000000,1.22279112,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.06000000,-19.98783019,19.99999763,1.88767251,0.21126515,-0.00000001,0.00000002,0.54618588,0.00000000,-0.00000000,17.08652277,0.00000003,-0.00000013,230.31539718,0.00000036,-0.00000165,0.99961334,-0.00000000,0.02780592,0.00000000,-0.00000000,1.72313271,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.08000000,-19.98347138,19.99999763,1.88767251,0.22590196,-0.00000001,0.00000002,0.93172582,0.00000000,-0.00000001,21.35642328,0.00000003,-0.00000016,197.00024159,0.00000030,-0.00000135,0.99887936,-0.00000000,0.04732886,0.00000000,-0.00000000,2.14371753,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.10000000,-19.97873725,19.99999763,1.88767251,0.24905978,-0.00000001,0.00000002,1.39613021,0.00000000,-0.00000001,24.97940296,0.00000004,-0.00000018,165.61566441,0.00000024,-0.00000108,0.99750294,-0.00000000,0.07062502,0.00000000,-0.00000000,2.48135531,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.12000000,-19.97344246,19.99999763,1.88767251,0.28218906,-0.00000001,0.00000002,1.92684368,0.00000000,-0.00000001,27.99361435,0.00000004,-0.00000020,136.11576242,0.00000018,-0.00000082,0.99530174,-0.00000000,0.09682174,0.00000000,-0.00000000,2.73293511,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.14000000,-19.96737511,19.99999763,1.88767251,0.32649674,-0.00000000,0.00000002,2.51206476,0.00000000,-0.00000002,30.43629194,0.00000005,-0.00000022,108.45463238,0.00000013,-0.00000058,0.99215490,-0.00000000,0.12501461,0.00000000,-0.00000000,2.89742172,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.16000000,-19.96030150,19.99999763,1.88767251,0.38296110,-0.00000000,0.00000002,3.14072745,0.00000001,-0.00000002,32.34375211,0.00000005,-0.00000022,82.58637108,0.00000008,-0.00000037,0.98802356,-0.00000000,0.15430312,0.00000000,-0.00000000,2.97743392,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.18000000,-19.95197049,19.99999763,1.88767251,0.45234630,-0.00000000,0.00000002,3.80248292,0.00000001,-0.00000003,33.75139322,0.00000005,-0.00000023,58.46507530,0.00000004,-0.00000016,0.98295625,-0.00000000,0.18383963,0.00000000,-0.00000000,2.97990041,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.20000000,-19.94211770,19.99999763,1.88767251,0.53521655,-0.00000000,0.00000002,4.48768112,0.00000001,-0.00000003,34.69369554,0.00000005,-0.00000023,36.04484181,-0.00000000,0.00000002,0.97707867,-0.00000000,0.21287855,0.00000000,-0.00000000,2.91562023,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.22000000,-19.93046936,19.99999763,1.88767251,0.63194989,-0.00000000,0.00000002,5.18735244,0.00000001,-0.00000004,35.20422128,0.00000005,-0.00000023,15.27976740,-0.00000004,0.00000019,0.97057148,-0.00000000,0.24081322,0.00000000,-0.00000000,2.79794989,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.24000000,-19.91674588,19.99999763,1.88767251,0.74275161,-0.00000000,0.00000002,5.89318930,0.00000001,-0.00000004,35.31561460,0.00000005,-0.00000022,-3.87605117,-0.00000007,0.00000034,0.96364300,-0.00000000,0.26719314,0.00000000,-0.00000000,2.64110426,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.26000000,-19.90066517,19.99999763,1.88767251,0.86766733,-0.00000000,0.00000002,6.59752785,0.00000001,-0.00000005,35.05960159,0.00000005,-0.00000022,-21.46851710,-0.00000010,0.00000048,0.95650342,-0.00000000,0.29172112,0.00000000,-0.00000000,2.45858272,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.28000000,-19.88194574,19.99999763,1.88767251,1.00659568,-0.00000000,0.00000002,7.29332957,0.00000001,-0.00000005,34.46699025,0.00000004,-0.00000020,-37.54353363,-0.00000013,0.00000060,0.94934522,-0.00000000,0.31423502,0.00000000,-0.00000000,2.26205741,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.30000000,-19.86030948,19.99999763,1.88767251,1.15930060,-0.00000000,0.00000002,7.97416294,0.00000001,-0.00000005,33.56767055,0.00000004,-0.00000019,-52.14700398,-0.00000015,0.00000071,0.94233142,-0.00000000,0.33468118,0.00000000,-0.00000000,2.06082290,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.32000000,-19.83548424,19.99999763,1.88767251,1.32542333,-0.00000000,0.00000002,8.63418502,0.00000001,-0.00000006,32.39061438,0.00000004,-0.00000018,-65.32483136,-0.00000018,0.00000080,0.93559098,-0.00000000,0.35308572,0.00000000,-0.00000000,1.86172495,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.34000000,-19.80720620,19.99999763,1.88767251,1.50449398,-0.00000000,0.00000001,9.26812317,0.00000001,-0.00000006,30.96387556,0.00000004,-0.00000016,-77.12291900,-0.00000019,0.00000088,0.92921946,-0.00000000,0.36952834,0.00000000,-0.00000000,1.66940436,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.36000000,-19.77522194,19.99999763,1.88767251,1.69594277,-0.00000000,0.00000001,9.87125660,0.00000001,-0.00000006,29.31458986,0.00000003,-0.00000014,-87.58717012,-0.00000021,0.00000095,0.92328288,-0.00000000,0.38412072,0.00000000,-0.00000000,1.48669303,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
